Rango FL,Entradas,Salidas,Ascensos (>2000 ft),Descensos (>2000 ft),Sobrevuelos (±2000 ft)
"[0, 10)",0,0,0,0,0
"[10, 20)",0,0,0,0,0
"[20, 30)",0,0,0,0,0
"[30, 40)",0,0,0,0,0
"[40, 50)",0,0,0,0,0
"[50, 60)",0,0,0,0,0
"[60, 70)",0,0,0,0,0
"[70, 80)",0,0,0,0,0
"[80, 90)",0,0,0,0,0
"[90, 100)",1,0,1,0,0
"[100, 110)",0,0,0,0,0
"[110, 120)",0,0,0,0,0
"[120, 130)",0,0,0,0,0
"[130, 140)",0,0,0,0,0
"[140, 150)",0,0,0,0,0
"[150, 160)",0,0,0,0,0
"[160, 170)",0,0,0,0,0
"[170, 180)",3,3,1,0,2
"[180, 190)",3,2,1,0,2
"[190, 200)",10,79,10,0,0
"[200, 210)",16,24,16,0,0
"[210, 220)",8,206,7,0,1
"[220, 230)",2,17,2,0,0
"[230, 240)",2,8,0,0,2
"[240, 250)",355,197,346,0,9
"[250, 260)",6,22,0,1,5
"[260, 270)",1,9,0,0,1
"[270, 280)",2,26,1,0,1
"[280, 290)",12,10,5,4,3
"[290, 300)",75,7,19,54,2
"[300, 310)",115,123,83,2,30
"[310, 320)",39,12,26,4,9
"[320, 330)",46,50,22,8,16
"[330, 340)",58,66,9,18,31
"[340, 350)",86,173,16,13,57
"[350, 360)",182,125,4,69,109
"[360, 370)",109,221,1,12,96
"[370, 380)",419,195,0,249,170
"[380, 390)",154,255,0,24,130
"[390, 400)",203,99,0,134,69
"[400, 410)",46,55,1,11,34
"[410, 420)",47,18,0,31,16
"[420, 430)",2,1,0,1,1
"[430, 440)",16,23,0,2,14
"[440, 450)",1,0,0,1,0
