Región,Vuelos
"Sur de Europa, Israel y Turquía",1382
Norte de Europa,436
África Occidental,74
Nor-Occidente de África,69
Sur-Oeste de Asia (excluyendo Israel y Turquía),44
Nor-Oriente de África,7
Sur de África,5
Rusia y ex-estados soviéticos,3
Sudamérica,2
Pacífico Norte Occidental,2
"Sur de Asia (excepto Pakistán), Región Continental del Sur-Occidente de Asia, Hong Kong y Macau",1
Sur-Oriente Marítimo de Asia (excepto Islas Filipinas),1
Pennsylvania,1
Missouri,1
Moskovskaya Oblast,1
Erevan,1
New York,1
Virginia,1
