ORIGEN,DESTINO,FRECUENCIA
LIRF,LEMD,17
EDDL,LEPA,17
LEMD,LIRF,17
LEBL,LIRF,15
EDDF,LEPA,14
LIRF,LEBL,14
LEPA,EDDK,14
DAAG,LFPG,13
EDDK,LEPA,13
LEPA,EDDS,12
LFPG,DAAG,12
LEPA,EDDF,12
LEPA,EDDL,11
LSZH,LEPA,11
LEPA,EDDH,11
LEBL,LIMC,11
LEMD,LGAV,10
EGKK,LEPA,10
EDDH,LEPA,10
LGAV,LEMD,10
LEPA,LSZH,10
LEPA,EDDM,10
EDDS,LEPA,10
LFMN,LEIB,9
LIMC,LEMD,9
EDDB,LEPA,9
EGCC,LEPA,9
LEBL,LOWW,9
DAAG,LFPO,9
LEBL,EDDM,9
LFPO,DAAG,9
EKCH,LEPA,9
LEPA,EDDB,9
LIRF,LPPT,7
LEMD,LIPZ,7
LEIB,LFMN,7
EGGD,LEPA,7
LEPA,EKCH,7
LEPA,EDDV,7
LEPA,EDDN,7
EGKK,LEIB,7
EGGW,LEPA,7
LPPT,LIRF,7
EDDV,LEPA,7
EGKK,LEMH,6
EGBB,LEPA,6
EDDG,LEPA,6
EDDN,LEPA,6
LIMC,LPPT,6
LIRF,LEMG,6
LIRF,KJFK,6
LFPO,LEPA,6
LEPA,LIMC,6
EGNM,LEPA,6
EGSS,LEIB,6
LEMH,EGKK,6
LEMG,LIRF,6
EGSS,LEPA,6
LEMD,LEMH,6
EHAM,LEIB,6
LEBL,LIPZ,6
LSGG,LEPA,5
LIMC,LEIB,5
LGAV,LEBL,5
LIMC,LEPA,5
LIPZ,LEMD,5
EGNT,LEPA,5
EDLP,LEPA,5
LEPA,LSGG,5
LEIB,LIMC,5
EHAM,LEPA,5
DAAG,LFML,5
OTHH,LEMD,5
EDLW,LEPA,5
LEPA,ESSA,5
LEPA,EDSB,5
EDSB,LEPA,5
LEPA,LOWW,5
ESSA,LEPA,4
DAAG,LFLL,4
LFSB,LEPA,4
EGCC,LEIB,4
LFLL,LEPA,4
LFPO,LEIB,4
LIRF,LEVC,4
LIRN,LEBL,4
EDDL,LEIB,4
LIRF,KIAD,4
LIPE,LEMD,4
LIML,LEIB,4
LTFM,LEMD,4
LSGG,LEIB,4
LEBL,LHBP,4
LEBL,LTFM,4
LEBL,LROP,4
LEVC,LIRF,4
LEVC,LSGG,4
LEBL,LGAV,4
LEMD,LIPE,4
LEIB,LSZH,4
LEBL,LIPE,4
ENGM,LEPA,4
HECA,LEMD,4
EGPF,LEPA,4
LEMD,LTFM,4
LEIB,LSGG,4
LFML,DAAG,4
EGGP,LEPA,4
LFMN,LEMD,4
EGNX,LEPA,4
LEPA,LFLL,4
LEPA,LFSB,4
LEPA,EDDG,4
LFRS,LEPA,4
LLBG,LEBL,3
LLBG,LEMD,3
LPPT,LFMN,3
LSZH,LEIB,3
LTFM,LEBL,3
LROP,LEMD,3
LSGG,LEAL,3
LPPT,LFML,3
EDDP,LEPA,3
LGAV,KJFK,3
EDDW,LEPA,3
EDDB,LEIB,3
LIEE,LEBL,3
LIEO,LEMD,3
LHBP,LEMD,3
LICJ,LEBL,3
LIMC,LEMG,3
LIRF,KATL,3
EDDF,LEVC,3
EDDF,DAAG,3
LOWW,LPPT,3
LOWW,LEMD,3
DTTA,LEMD,3
LIRF,LEIB,3
LIRN,LEIB,3
LLBG,KJFK,3
LFMN,LPPT,3
EGAA,LEPA,3
LFML,LEMD,3
EGLC,LEPA,3
EGLC,LEIB,3
EGKB,LEIB,3
LEPA,ELLX,3
LFML,LEPA,3
LFML,LPPT,3
LEVC,LSZH,3
LFLL,DAAG,3
LEPA,LKPR,3
LEPA,LIRF,3
EGCC,LEMH,3
EGLL,LEPA,3
LEPA,EDDW,3
LEPA,EDLP,3
LEPA,EDDP,3
LEPA,EGKK,3
LEMD,OTHH,3
LEMD,LIRN,3
LEMD,LFMN,3
LEMH,EGCC,3
LEMG,LSGG,3
EGLL,FAOR,3
EGSS,LEMH,3
EGPH,LEPA,3
LEMD,LLBG,3
LEMD,LROP,3
LEMH,EGSS,3
LEIB,LIRF,3
LEIB,LIRN,3
EIDW,LEPA,3
LEBL,LIRN,3
LEBL,LYBE,3
LEBL,OTHH,3
LEBL,LKPR,3
